Key,Source,Context,Changes,English
flagMain,block,Flag,New,7DtD Flag Landclaim
flagMerq,block,Flag,New,MerQ Flag Landclaim
flagBunny,block,Flag,New,Bunny Flag Landclaim
flagUsa,block,Flag,New,USA Flag Landclaim
flagDove,block,Flag,New,Dove Flag Landclaim
flagDog,block,Flag,New,Dog Flag Landclaim
flagSinMod,block,Flag,New,SinMod Flag Landclaim
flagViking,block,Flag,New,Viking Flag Landclaim
flagCroatia,block,Flag,New,Croatia Flag Landclaim
flagSniper,block,Flag,New,Sniper Flag Landclaim
flagMoon,block,Flag,New,Moon Flag Landclaim
flagKiss,block,Flag,New,Kiss Flag Landclaim
flagMenuXmas,block,Flag,New,MerQ Xmas Flag Landclaim
flagSam,block,Flag,New,Sam Flag Landclaim
flagBlockVariantHelper,block,Flag,New,Flag Selector Landclaim


bannerMerq,block,Banner,New,MerQ Squad Banner
bannerMain,block,Banner,New,7DtD Banner
flagBlockVariantHelper,block,Banner,New,Banner Selector Landclaim
